Country or region,Overall rank,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021,Score_2022
Finland,1,7.413,7.469,7.632,7.769,7.809,7.842,7.842
Denmark,2,7.526,7.522,7.555,7.6,7.646,7.62,7.62
Norway,3,7.498,7.537,7.594,7.554,7.488,7.392,7.392
Switzerland,6,7.509,7.494,7.487,7.48,7.56,7.571,7.571
Iceland,4,7.501,7.504,7.495,7.494,7.504,7.554,7.554
Netherlands,5,7.339,7.377,7.441,7.488,7.449,7.464,7.464
Canada,9,7.404,7.316,7.328,7.278,7.232,7.103,7.103
Sweden,7,7.291,7.284,7.314,7.343,7.353,7.363,7.363
Luxembourg,14,6.871,6.863,6.91,7.09,7.238,7.324,7.324
New Zealand,8,7.334,7.314,7.324,7.307,7.3,7.277,7.277
Austria,10,7.119,7.006,7.139,7.246,7.294,7.268,7.268
Australia,11,7.313,7.284,7.272,7.228,7.223,7.183,7.183
Israel,13,7.267,7.213,6.814,7.139,7.129,7.157,7.157
Germany,17,6.994,6.951,6.965,6.985,7.076,7.155,7.155
United Kingdom,15,6.725,6.714,7.19,7.054,7.165,7.064,7.064
Ireland,16,6.907,6.977,6.977,7.021,7.094,7.085,7.085
Costa Rica,12,7.087,7.079,7.072,7.167,7.121,7.069,7.069
Brazil,32,6.952,6.635,6.419,6.3,6.376,6.33,6.33
Czech Republic,20,6.596,6.609,6.711,6.852,6.911,6.965,6.965
Belgium,18,6.929,6.891,6.927,6.923,6.864,6.834,6.834
United Arab Emirates,21,6.573,6.648,6.774,6.825,6.791,6.561,6.561
France,24,6.478,6.442,6.489,6.592,6.664,6.69,6.69
Bahrain,37,6.218,6.087,6.105,6.199,6.227,6.647,6.647
Chile,26,6.705,6.652,6.476,6.444,6.228,6.172,6.172
Malta,22,6.488,6.527,6.627,6.726,6.773,6.602,6.602
Mexico,23,6.778,6.578,6.488,6.595,6.465,6.317,6.317
Saudi Arabia,28,6.379,6.344,6.371,6.375,6.406,6.494,6.494
Taiwan,25,6.379,6.422,6.441,6.446,6.455,,6.584
Spain,30,6.361,6.403,6.31,6.354,6.401,6.491,6.491
Singapore,34,6.739,6.572,6.343,6.262,6.377,6.377,6.377
Italy,36,5.977,5.964,6.0,6.223,6.387,6.483,6.483
Slovenia,44,5.768,5.758,5.948,6.118,6.363,6.461,6.461
Guatemala,27,6.324,6.454,6.382,6.436,6.399,6.435,6.435
Uruguay,33,6.545,6.454,6.379,6.293,6.44,6.431,6.431
Panama,31,6.701,6.452,6.43,6.321,6.305,6.18,6.18
Kosovo,46,5.401,5.279,5.662,6.1,6.325,6.372,
Slovakia,38,6.078,6.098,6.173,6.198,6.281,6.331,6.331
Argentina,47,6.65,6.599,6.388,6.086,5.975,5.929,5.929
Jamaica,56,5.51,5.311,5.89,5.89,5.89,6.309,6.309
Colombia,43,6.481,6.357,6.26,6.125,6.163,6.012,6.012
Lithuania,42,5.813,5.902,5.952,6.149,6.215,6.255,6.255
Cyprus,49,5.546,5.621,5.762,6.046,6.159,6.223,6.223
Qatar,29,6.375,6.375,6.374,6.374,,,
Estonia,55,5.517,5.611,5.739,5.893,6.022,6.189,6.189
El Salvador,35,6.068,6.003,6.167,6.253,6.348,6.061,6.061
Uzbekistan,41,5.987,5.971,6.096,6.174,6.258,6.179,6.179
Thailand,52,6.474,6.424,6.072,6.008,5.999,5.985,5.985
Poland,40,5.835,5.973,6.123,6.182,6.186,6.166,6.166
Kazakhstan,60,5.919,5.819,5.79,5.809,6.058,6.152,6.152
Romania,48,5.528,5.825,5.945,6.07,6.124,6.14,6.14
