#,Country,"GDP (nominal, 2022)",GDP growth,Population (2022),GDP per capita,Share of World GDP,Immunization (%),Death rate/1000 people,Birth rate/1000 people,Diabetes prevalence (% of population ages 20 to 79),Life expectancy,"Mortality rate, under-5 (per 1,000 live births)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Incidence of tuberculosis (per 100,000 people)",Population growth (annual %),"Population, total",Prevalence of undernourishment (% of population),Overall rank,Score_2016,Score_2017,Score_2018,Score_2019,Score_2020,Score_2021,Score_2022
1,United States,25462700000000,25.463 trillion,2.06,338289857,75269,94.0,10.4,11.0,10.7,76.32926829,6.2,15.966,2.6,0.156747055,332031554,2.5,,,,,,,,
2,China,17963200000000,17.963 trillion,2.99,1425887337,12598,99.0,7.18,7.52,10.6,78.211,6.9,11.048,55.0,0.0892522,1412360000,2.5,93.0,,5.273,5.246,5.191,5.124,5.339,5.339
3,Japan,4231140000000,4.231 trillion,1.03,123951692,34135,99.0,11.7,6.6,6.6,84.44560976,2.3,2.903,11.0,-0.459952416,125681593,3.2,58.0,5.921,5.92,5.915,5.886,5.871,5.94,5.94
4,Germany,4072190000000,4.072 trillion,1.79,83369843,48845,91.0,12.3,9.6,6.9,80.90097561,3.6,7.465,5.0,0.042327057,83196078,2.5,17.0,6.994,6.951,6.965,6.985,7.076,7.155,7.155
5,India,3385090000000,3.385 trillion,7.00,1417173173,2389,85.0,9.448,16.419,9.6,67.24,30.6,17.234,200.0,0.797216094,1407563842,16.6,140.0,4.404,4.315,4.19,4.015,3.573,3.819,3.819
6,United Kingdom,3070670000000,3.071 trillion,4.10,67508936,45485,93.0,9.7,10.1,6.3,80.7,4.2,10.541,8.0,-0.081937241,67026292,2.5,15.0,6.725,6.714,7.19,7.054,7.165,7.064,7.064
7,France,2782910000000,2.783 trillion,2.56,64626628,43061,96.0,9.7,10.9,5.3,82.32439024,4.4,9.529,7.6,0.285508619,67764304,2.5,24.0,6.478,6.442,6.489,6.592,6.664,6.69,6.69
8,Russia,2240420000000,2.240 trillion,-2.07,144713314,15482,97.0,16.7,9.6,5.6,69.36121951,5.1,14.988,47.0,0.039793394,144130482,2.5,68.0,5.856,5.963,5.81,5.648,5.546,5.477,5.477
9,Canada,2139840000000,2.140 trillion,3.40,38454327,55646,92.0,7.8,9.6,7.7,82.59660976,5.0,6.978,5.7,0.575421916,38226498,2.5,9.0,7.404,7.316,7.328,7.278,7.232,7.103,7.103
10,Italy,2010430000000,2.010 trillion,3.67,59037474,34053,94.0,12.0,6.8,6.4,82.79512195,2.6,3.993,4.6,-0.515599999,59133173,2.5,36.0,5.977,5.964,6.0,6.223,6.387,6.483,6.483
11,Brazil,1920100000000,1.920 trillion,2.90,215313498,8918,68.0,8.326,12.883,8.8,72.75,14.4,45.2,49.0,0.528590453,214326223,4.7,32.0,6.952,6.635,6.419,6.3,6.376,6.33,6.33
12,Australia,1675420000000,1.675 trillion,3.62,26177413,64003,95.0,6.7,12.1,6.4,83.3,3.7,8.096,6.5,0.140895083,25685412,2.5,11.0,7.313,7.284,7.272,7.228,7.223,7.183,7.183
13,South Korea,1665250000000,1.665 trillion,2.56,51815810,32138,98.0,6.2,5.1,6.8,83.52682927,2.9,2.211,44.0,-0.176408651,51744876,2.5,54.0,5.835,5.838,5.875,5.895,5.872,5.845,5.845
14,Mexico,1414190000000,1.414 trillion,3.06,127504125,11091,78.0,9.406,14.857,16.9,70.213,13.2,54.369,25.0,0.559420832,126705138,2.5,23.0,6.778,6.578,6.488,6.595,6.465,6.317,6.317
15,Spain,1397510000000,1.398 trillion,5.45,47558630,29385,92.0,9.5,7.1,10.3,83.17804878,3.0,6.281,8.2,0.105799194,47415794,2.5,30.0,6.361,6.403,6.31,6.354,6.401,6.491,6.491
16,Indonesia,1319100000000,1.319 trillion,5.31,275501339,4788,67.0,10.065,16.425,10.6,67.57,22.2,33.929,339.0,0.694717688,273753191,5.9,92.0,5.314,5.262,5.093,5.192,5.286,5.345,5.345
17,Saudi Arabia,1108150000000,1.108 trillion,8.74,36408820,30436,97.0,2.864,17.473,18.7,76.936,6.7,11.937,8.2,-0.129847471,35950396,3.8,28.0,6.379,6.344,6.371,6.375,6.406,6.494,6.494
18,Netherlands,991115000000,991 billion,4.48,17564014,56429,95.0,9.8,10.2,4.5,81.46097561,4.1,2.804,4.4,0.523490508,17533044,2.5,5.0,7.339,7.377,7.441,7.488,7.449,7.464,7.464
19,Turkey,905988000000,906 billion,5.57,85341241,10616,95.0,6.398,14.678,14.5,76.032,9.0,16.884,14.0,0.910444903,84147318,2.5,79.0,5.389,5.5,5.483,5.373,5.132,4.948,4.948
20,Switzerland,807706000000,808 billion,2.06,8740472,92410,96.0,8.2,10.3,4.6,83.85121951,3.8,2.212,4.7,0.765501039,8704546,2.5,6.0,7.509,7.494,7.487,7.48,7.56,7.571,7.571
21,Poland,688177000000,688 billion,4.87,39857145,17266,90.0,13.8,8.8,6.8,75.60243902,4.3,9.653,10.0,-0.401728617,37747124,2.5,40.0,5.835,5.973,6.123,6.182,6.186,6.166,6.166
22,Argentina,632770000000,633 billion,5.24,45510318,13904,81.0,8.955,13.902,5.4,75.39,6.9,39.065,29.0,0.947490959,45808747,3.2,47.0,6.65,6.599,6.388,6.086,5.975,5.929,5.929
23,Sweden,585939000000,586 billion,2.64,10549347,55543,98.0,8.8,11.0,5.0,83.15609756,2.5,3.345,3.8,0.600591533,10415811,2.5,7.0,7.291,7.284,7.314,7.343,7.353,7.363,7.363
24,Norway,579267000000,579 billion,3.28,5434319,106594,97.0,7.8,10.4,3.6,83.16341463,2.2,2.336,3.0,0.534772282,5408320,2.5,3.0,7.498,7.537,7.594,7.554,7.488,7.392,7.392
25,Belgium,578604000000,579 billion,3.25,11655930,49640,98.0,9.7,10.2,3.6,81.8902439,4.1,5.33,8.1,0.411601997,11586195,2.5,18.0,6.929,6.891,6.927,6.923,6.864,6.834,6.834
26,Ireland,529245000000,529 billion,11.97,5023109,105362,94.0,6.6,11.6,3.0,82.10243902,3.1,5.941,4.8,0.953878184,5033164,2.5,16.0,6.907,6.977,6.977,7.021,7.094,7.085,7.085
27,Israel,522033000000,522 billion,6.46,9038309,57758,98.0,5.4,19.7,8.5,82.5,3.4,7.614,2.8,1.681905517,9371400,2.5,13.0,7.267,7.213,6.814,7.139,7.129,7.157,7.157
28,United Arab Emirates,507535000000,508 billion,7.41,9441129,53758,96.0,1.874,10.307,16.4,78.71,6.4,3.085,0.81,0.834812788,9365145,2.5,21.0,6.573,6.648,6.774,6.825,6.791,6.561,6.561
29,Thailand,495341000000,495 billion,2.59,71697030,6909,97.0,7.922,8.999,9.7,78.715,8.3,32.744,146.0,0.175345075,71601103,5.2,52.0,6.474,6.424,6.072,6.008,5.999,5.985,5.985
30,Nigeria,477386000000,477 billion,3.25,218541212,2184,62.0,13.083,37.117,3.6,52.676,110.8,101.675,219.0,2.406363381,213401323,15.9,85.0,4.875,5.074,5.155,5.265,4.724,4.759,4.759
31,Egypt,476748000000,477 billion,6.59,110990103,4295,96.0,6.327,22.558,20.9,70.221,19.0,44.767,10.0,1.658383679,109262178,7.2,137.0,4.362,4.735,4.419,4.166,4.151,4.283,4.283
32,Austria,471400000000,471 billion,5.00,8939617,52732,86.0,10.3,9.6,4.6,81.23902439,3.7,5.521,5.0,0.435671684,8955797,2.5,10.0,7.119,7.006,7.139,7.246,7.294,7.268,7.268
33,Singapore,466789000000,467 billion,3.65,5975689,78115,98.0,5.8,8.6,11.6,83.44146341,2.1,2.623,48.0,-4.1703363,5453566,,34.0,6.739,6.572,6.343,6.262,6.377,6.377,6.377
34,Bangladesh,460201000000,460 billion,7.10,171186372,2688,98.0,5.68,17.821,14.2,72.381,27.3,75.496,221.0,1.149318476,169356251,11.2,125.0,4.643,4.608,4.5,4.456,4.833,5.025,5.025
36,Malaysia,406306000000,406 billion,8.69,33938221,11972,95.0,6.034,15.24,19.0,74.884,7.6,9.271,97.0,1.119853991,33573874,2.7,80.0,6.005,6.084,6.322,5.339,5.384,5.384,5.384
37,South Africa,405870000000,406 billion,2.04,59893885,6776,86.0,11.432,19.821,10.8,62.341,32.8,61.206,513.0,0.998920419,59392255,7.9,106.0,4.459,4.829,4.724,4.722,4.814,4.956,4.956
38,Philippines,404284000000,404 billion,7.57,115559009,3499,57.0,7.311,21.813,7.1,69.266,25.7,48.202,596.0,1.494557167,113880328,5.2,69.0,5.279,5.43,5.524,5.631,6.006,5.88,5.88
39,Denmark,395404000000,395 billion,3.82,5882261,67220,97.0,9.8,10.8,5.3,81.40487805,3.6,1.908,3.8,0.433414489,5856733,2.5,2.0,7.526,7.522,7.555,7.6,7.646,7.62,7.62
40,Iran,388544000000,389 billion,2.75,88550570,4388,98.0,6.437,13.699,9.1,73.875,12.6,30.155,12.0,0.722822505,87923432,6.1,117.0,4.813,4.692,4.707,4.548,4.672,4.721,4.721
41,Pakistan,376533000000,377 billion,6.19,235824862,1597,83.0,7.168,27.519,30.8,66.098,63.3,42.269,266.0,1.834062082,231402117,18.5,67.0,5.132,5.269,5.472,5.653,5.693,4.934,4.934
43,Colombia,343939000000,344 billion,7.50,51874024,6630,86.0,7.735,14.204,8.3,72.83,12.8,59.034,41.0,1.143820916,51516562,6.6,43.0,6.481,6.357,6.26,6.125,6.163,6.012,6.012
44,Romania,301262000000,301 billion,4.79,19659267,15324,86.0,17.5,9.3,6.5,72.96097561,6.4,36.376,45.0,-0.746036479,19122059,2.5,48.0,5.528,5.825,5.945,6.07,6.124,6.14,6.14
45,Chile,301025000000,301 billion,2.44,19603733,15355,95.0,7.426,11.788,10.8,78.944,6.6,24.082,16.0,0.994344898,19493184,2.5,26.0,6.705,6.652,6.476,6.444,6.228,6.172,6.172
47,Finland,280826000000,281 billion,2.08,5540745,50684,89.0,10.4,9.0,6.1,81.93414634,2.2,4.159,3.5,0.207288594,5541017,2.5,1.0,7.413,7.469,7.632,7.769,7.809,7.842,7.842
48,Iraq,264182000000,264 billion,7.01,44496122,5937,78.0,4.753,27.367,10.7,70.378,24.5,62.192,24.0,2.26888921,43533592,16.3,126.0,4.575,4.497,4.456,4.437,4.785,4.854,4.854
