Country,"Immunization, DPT (% of children ages 12-23 months)","Death rate, crude (per 1,000 people)","Birth rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),"Life expectancy at birth, total (years)","Mortality rate, under-5 (per 1,000 live births)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Incidence of tuberculosis (per 100,000 people)",Population growth (annual %),"Population, total",Prevalence of undernourishment (% of population)
Afghanistan,66,7.344,35.842,10.9,61.982,55.7,82.565,185,2.851357654,40099462,30.1
Albania,98,11.325,10.24,10.2,76.463,9.5,14.517,15,-0.926918062,2811666,4.1
Algeria,81,4.546,21.524,7.1,76.377,22.3,11.714,54,1.657703201,44177969,2.5
Andorra,99,null,null,9.7,null,2.8,5.887,2.9,1.702288225,79034,null
Angola,45,8.009,38.809,4.6,61.643,69.4,138.402,322,3.166029862,34503774,21.6
Antigua and Barbuda,92,6.365,12.115,11.7,78.497,6.1,33.11,4.9,0.597151595,93219,null
Argentina,81,8.955,13.902,5.4,75.39,6.9,39.065,29,0.947490959,45808747,3.2
Armenia,93,13.007,12.049,5.6,72.043,10.7,18.511,25,-0.522963243,2790974,2.5
Australia,95,6.7,12.1,6.4,83.3,3.7,8.096,6.5,0.140895083,25685412,2.5
Austria,86,10.3,9.6,4.6,81.23902439,3.7,5.521,5,0.435671684,8955797,2.5
Azerbaijan,89,7.6,11.1,5.6,69.366,18.6,40.079,62,0.441197736,10137750,2.5
Bahamas,86,8.986,11.445,8.8,71.598,13.2,25.686,12,0.352416997,407906,null
Bahrain,98,2.479,11.926,11.3,78.76,6.9,8.676,15,-0.96602484,1463265,null
Bangladesh,98,5.68,17.821,14.2,72.381,27.3,75.496,221,1.149318476,169356251,11.2
Barbados,82,9.007,10.832,14,77.571,11.9,42.297,0.41,0.180461454,281200,2.5
Belarus,98,16.544,9.283,5.6,72.37068293,2.7,11.85,28,-0.828232721,9302585,2.5
Belgium,98,9.7,10.2,3.6,81.8902439,4.1,5.33,8.1,0.411601997,11586195,2.5
Belize,83,6.353,17.976,14.5,70.47,11.2,57.127,27,1.285629921,400031,4.9
Benin,76,9.434,36.608,1.1,59.821,83.5,92.259,53,2.759705179,12996895,9.9
Bhutan,98,6.477,12.482,10.4,71.815,26.7,18.977,164,0.642586173,777486,null
Bolivia,70,9.945,21.836,5.5,63.63,24.7,63.792,107,1.193486719,12079472,19.4
Bosnia and Herzegovina,76,15.712,8.42,9.1,75.3,5.6,9.86,25,-1.440652596,3270943,2.5
Botswana,95,9.461,23.576,5.2,61.141,34.9,49.324,228,1.636742755,2588423,22.9
Brazil,68,8.326,12.883,8.8,72.75,14.4,45.2,49,0.528590453,214326223,4.7
Brunei,99,5.211,13.8,11.1,74.642,11.5,9.978,61,0.822461682,445373,null
Bulgaria,89,21.7,8.5,7.4,71.51463415,6.3,38.605,17,-0.814846472,6877743,2.5
Burkina Faso,91,8.958,35.541,2.1,59.27,82.6,110.509,45,2.650375915,22100683,16.2
